id,link,title,availability,description,image link,price,sale price,brand,mpn,identifier exists,condition,item group id,product details,unit price measure,unit price base measure,shipping weight,additional image links
b4da1a9a-6185-37fc-9f5d-8df3fb58deb8,https://www.natole.store/product-page/%D0%BA%D1%83%D1%80%D0%BA%D0%B0-%D0%BF%D0%B0%D0%BF%D1%80%D0%B8%D0%BA%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Курка Паприка ""Natole"" 0.5 ",instock,"<p>Курячі чипси з додаванням Паприки та суміші перців – це смачна натуральна закуска до пива, виготовлена з куриного філе з додаванням натуральних спецій.</p>",https://static.wixstatic.com/media/145cef_c171cf64ef4c44c8bee109d981431257~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,390,390,Natole store,b4da1a9a-6185-37fc-9f5d-8df3fb58deb8,true,new,,,500.00 g,1.00 kg,0.5 kg,
abe04a20-500b-eb9f-b36b-4992bfd6a3a5,https://www.natole.store/product-page/%D0%BA%D1%83%D1%80%D0%BA%D0%B0-%D1%87%D0%B0%D1%81%D0%BD%D0%B8%D0%BA?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Курка часник ""Natole"" 0.5",instock,"<p>Курячі чипси з додаванням натурального Часнику– це смачна натуральна закуска до пива, виготовлена з куриного філе з додаванням натуральних спецій.</p>",https://static.wixstatic.com/media/145cef_07b85884928d45cb8b279df0dc1624ef~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,390,390,Natole store,abe04a20-500b-eb9f-b36b-4992bfd6a3a5,true,new,,,,,,
2f2c996d-2ba4-984a-2b86-0cd43ae1699c,https://www.natole.store/product-page/%D0%BF%D0%B0%D0%BB%D0%B8%D1%87%D0%BA%D0%B8-%D0%BA%D1%83%D1%80%D0%BA%D0%B8?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Палички курки,instock,"<p>Добірне курячі філе, нарізане однаковою товщиною, замариноване в суміші спецій та в'уялене у спеціальних умовах. Нічого зайвого, шикарний смак, аромат та консистенція. Можна вживати як самостійний продукт та як закуску</p>",https://static.wixstatic.com/media/145cef_a9c1b91444364bca8ea3a23f65f58eea~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,423,423,Natole store,2f2c996d-2ba4-984a-2b86-0cd43ae1699c,true,new,,,,,,
1821a85b-4d31-5adb-617b-72a614ad2f85,https://www.natole.store/product-page/%D1%81%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0-%D1%87%D0%B8%D0%BB%D1%96-50%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Свинина Чилі 50г,instock,"<p>Добірне м'ясо свинини, нарізане однаковою товщиною, замариноване в суміші спецій з додаванням перцю ""Чилі"" та висушене у спеціальних умовах. Нічого зайвого, шикарний смак, аромат та консистенція. Можна вживати як самостійний продукт та як закуску</p>",https://static.wixstatic.com/media/145cef_25352906909f42658a70278153bdeeb5~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,65,65,Natole store,1821a85b-4d31-5adb-617b-72a614ad2f85,true,new,,,50.00 g,1.00 kg,,
73c0d7c9-d8c7-998e-85ad-c5edd3e9477b,https://www.natole.store/product-page/%D1%81%D1%83%D0%B4%D0%B6%D1%83%D0%BA-50%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Суджук 50г,instock,"<p>Суджук – це м'ясний делікатес, традиційний для кулінарної культури у багатьох країнах Азії, Кавказу та Європи. Зазвичай його подають як закуску на стіл у складі м'ясних тарілок, або їдять із хлібом та лавашем. У деяких країнах його також їдять у складі гарячих страв: додають у страви з яєць, у випічку, обсмажують на грилі та в олії. Рецептів приготування суджука дуже багато, причому використовуються практично будь-які сорти м'яса</p>",https://static.wixstatic.com/media/145cef_9ce700879eb7417e9a957137aa5f425c~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,39,39,Natole store,73c0d7c9-d8c7-998e-85ad-c5edd3e9477b,true,new,,,50.00 g,1.00 kg,,
1dfffe30-5333-b420-5716-8c103a80f927,https://www.natole.store/product-page/%D1%84%D1%96%D0%BB%D0%B5-%D0%BA%D1%83%D1%80%D1%8F%D1%87%D0%B5-%D0%BF%D0%BE-%D0%B3%D1%80%D0%B5%D1%86%D1%8C%D0%BA%D0%B8-100%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Філе куряче по-грецьки 100г,instock,,https://static.wixstatic.com/media/145cef_b0658b15f5fc477684a1345979ed831a~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,85,85,Natole store,1dfffe30-5333-b420-5716-8c103a80f927,true,new,,,,,,
32b08bfb-f0ad-d172-aedd-a69ec218011c,https://www.natole.store/product-page/%D1%85%D0%B0%D0%BC%D0%BE%D0%BD-%D1%81-%D0%B2?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Хамон (с.в.),instock,"<p>Іспанський національний делікатес, сиров'ялене свиняче стегно.</p>",https://static.wixstatic.com/media/145cef_b4ece710de284553b1fc0171e4f96899~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,273,273,Natole store,32b08bfb-f0ad-d172-aedd-a69ec218011c,true,new,,,,,,
d4361c32-005d-e989-afa9-0b2594f1279e,https://www.natole.store/product-page/%D1%85%D0%BE-%D0%BA%D1%83%D1%80%D0%BA%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,ХО Курка,instock,<p>Чипси курячі 50 г Бащинский DRY CHICKEN HOT гострі</p>,https://static.wixstatic.com/media/145cef_18c82e270756405893bd54ceb9a38bb1~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,78,78,Natole store,d4361c32-005d-e989-afa9-0b2594f1279e,true,new,,,50.00 g,1.00 kg,,
71cd8462-90b4-0610-18dc-212f38c59f8d,https://www.natole.store/product-page/%D1%87%D0%BE%D1%80%D1%96%D0%B7%D0%BE-%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Чорізо ""Natole""",instock,<p>Пікантні курячі ковбаски</p><p>Поєднання каталонського перцю та копченої паприки робить їх смак незабутнім !</p><p>А мініатюрний формат дозволяє іх їсти не розрізаючи на дрібні шматочки</p>,https://static.wixstatic.com/media/145cef_1de4d0fd87864f3cb2f24c0bc87da8d8~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,390,390,Natole store,71cd8462-90b4-0610-18dc-212f38c59f8d,true,new,,,,,,
92c3ac66-eb9f-b856-a35a-844d3b834707,https://www.natole.store/product-page/%D1%8F%D0%BB%D0%BE%D0%B2%D0%B8%D1%87%D0%B8%D0%BD%D0%B0-%D1%82%D0%B5%D1%80%D1%96%D1%8F%D0%BA%D1%96-50%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Яловичина Теріякі 50г,instock,"<p>Добірне м'ясо яловичини, нарізане однаковою товщиною, замариноване в соєвому соусі, суміші спецій та висушене у спеціальних умовах. Нічого зайвого, шикарний смак, аромат та консистенція. Можна вживати як самостійний продукт та як закуску</p>",https://static.wixstatic.com/media/145cef_94e7071498244bae87a9812f949d4aa1~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,58,58,Natole store,92c3ac66-eb9f-b856-a35a-844d3b834707,true,new,,,50.00 g,1.00 kg,,
