id,link,title,availability,description,image link,price,sale price,brand,mpn,identifier exists,condition,item group id,product details,unit price measure,unit price base measure,additional image links,shipping weight
d685e4d3-2899-21ef-1bd9-0c7db9b50b5b,https://www.natole.store/product-page/%D0%BA%D1%83%D0%BA%D1%83%D1%80%D1%83%D0%B4%D0%B7%D0%B0-%D0%BC%D0%B5%D0%B4-%D0%B3%D1%96%D1%80%D1%87%D0%B8%D1%86%D1%8F?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Кукурудза мед-гірчиця,instock,"<p>Кукурудза зі смаком Меду та гірчиці</p><p></p><p>Особлива технологія обжареня зерен ,з додаванням спецій , роблять цей продукт неймовірним !</p><p>Вона поєднала у собі ніжність попкорну та хрусткість арахісу</p><p></p><p>Наш інтернет-магазин пропонує вам купити кукурудзу зі смаком меду та гірчиці  за доступною ціною. Ми пропонуємо тільки натуральний продукт, доставку якого можна замовити в будь-яку точку України.</p>",https://static.wixstatic.com/media/145cef_fc2f020304f345b0ab05ae4cb7dc0e74~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,205,205,Natole store,d685e4d3-2899-21ef-1bd9-0c7db9b50b5b,true,new,,,1.00 kg,1.00 kg,,
38899af4-3c87-4e82-6b78-37700f41ad6a,https://www.natole.store/product-page/%D0%BA%D1%83%D0%BA%D1%83%D1%80%D1%83%D0%B4%D0%B7%D0%B0-%D1%81%D0%B8%D1%80?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Кукурудза сир,instock,"<p>Кукурудза зі смаком Сиру</p><p>Особлива технологія обжареня зерен ,з додаванням спецій , роблять цей продукт неймовірним !</p><p>Вона поєднала у собі ніжність попкорну та хрусткість арахісу</p><p></p><p>Наш інтернет-магазин пропонує вам купити кукурудзу зі смаком сиру за доступною ціною. Ми пропонуємо тільки натуральний продукт, доставку якого можна замовити в будь-яку точку України.</p>",https://static.wixstatic.com/media/145cef_6080a4f008e84fc7b4cf06684920a85b~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,205,205,Natole store,38899af4-3c87-4e82-6b78-37700f41ad6a,true,new,,,1.00 kg,1.00 kg,,
e44466d6-d48c-4c9f-0bbc-e033b9c5eef5,https://www.natole.store/product-page/%D0%BC%D0%B8%D0%B3%D0%B4%D0%B0%D0%BB%D1%8C-%D1%81%D0%BE%D0%BB%D0%BE%D0%BD%D0%B8%D0%B9?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Мигдаль солоний,instock,"<p>Смажений солоний мигдаль має яскраво вираженим смак і приємний аромат. Крім того, ретельно обсмажені ядра цього горіха здатні принести масу користі людині. Вони містять ціле джерело поживних речовин, необхідних організму для підтримки тонусу протягом усього дня.</p>",https://static.wixstatic.com/media/145cef_4fe0d01a7fa04939bcb942993ec60262~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,500,500,Natole store,e44466d6-d48c-4c9f-0bbc-e033b9c5eef5,true,new,,,1.00 kg,1.00 kg,,
142e3b50-9583-8c15-5c8e-9bbdf9db844a,https://www.natole.store/product-page/%D0%BF%D0%B8%D0%B2%D0%BD%D0%B8%D0%B9-%D0%BC%D1%96%D0%BA%D1%81-%D0%B2-%D1%82%D1%83%D0%B1%D1%83%D1%81%D1%96?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Пивний мікс (в тубусі),instock,<p>Пивний тубус - це мікс найпопулярніших горішків у пластиковому тубусі</p><p></p><p>До складу входять </p><p></p><p>-Крісперси</p><p>-Мигдаль</p><p>-Східний арахіс</p><p>-Солоний арахіс</p><p>-Кукурудза</p><p>-Кранчі</p><p></p>,https://static.wixstatic.com/media/145cef_eab0728e822d4755acde860a73cb1a01~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,270,270,Natole store,142e3b50-9583-8c15-5c8e-9bbdf9db844a,true,new,,,1.00 kg,1.00 kg,,
ff3e5802-727b-7900-e3e6-0d774353bdab_0,https://www.natole.store/product-page/%D1%84%D1%96%D1%81%D1%82%D0%B0%D1%88%D0%BA%D0%B0-%D1%96%D1%80%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Фісташка США,instock,"<p>Фісташки – це продукт, який одержують із зрілих плодів. Їх штучно вирощують та розкривають. Стиглі фісташки мають зелені ядра і шкаралупу, що розкрилася. Основний виробник цього виду горіхів – Іран. Саме тут вирощуються корисні та смачні сорти.</p><p></p>",https://static.wixstatic.com/media/145cef_e40c812146e443d0980e33f14709b9a8~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,735,735,Natole store,ff3e5802-727b-7900-e3e6-0d774353bdab_0,true,new,ff3e5802-727b-7900-e3e6-0d774353bdab,:Вага:1кг.,1.00 kg,1.00 kg,,1.0 kg
731c2138-e13c-656a-0b75-e93cabbb2bd2,https://www.natole.store/product-page/%D1%84%D1%83%D0%BD%D0%B4%D1%83%D0%BA-%D1%81%D0%BE%D0%BB%D0%BE%D0%BD%D0%B8%D0%B9?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Фундук солоний,instock,"<p>Смажено-солоний фундук виділяється приємним смаком, ароматом, і здатний принести масу користі організму. У складі цих горіхів міститься маса корисних поживних речовин, які допомагають поліпшити самопочуття і зарядити людину енергією на цілий день.</p><p></p>",https://static.wixstatic.com/media/145cef_90296ffe51f64e508635375958dc61f8~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,605,605,Natole store,731c2138-e13c-656a-0b75-e93cabbb2bd2,true,new,,,1.00 kg,1.00 kg,,
c5e46479-12ba-af9e-f8d5-9de1b75b6c04,https://www.natole.store/product-page/%D0%B3%D1%80%D1%96%D0%BD%D0%BA%D0%B8-%D0%B6%D0%B8%D1%82%D0%BD%D1%96-%D1%85%D0%BE%D0%BB%D0%BE%D0%B4%D0%B5%D1%86%D1%8C-%D1%85%D1%80%D1%96%D0%BD?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Грінки житні Томчики холодець-хрін 500 грам,instock,<p>Грінки житні з додаванням соті та натурального хрону .</p><p></p><p>Фасування 500г</p>,https://static.wixstatic.com/media/145cef_7cfd4aedf58b433086660300b661d727~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,88,88,Natole store,c5e46479-12ba-af9e-f8d5-9de1b75b6c04,true,new,,,1.00 kg,1.00 kg,,
8e1a76c2-d0a8-5683-6ab6-5c5511e6c441,https://www.natole.store/product-page/%D0%B3%D1%80%D1%96%D0%BD%D0%BA%D0%B8-%D0%B6%D0%B8%D1%82%D0%BD%D1%96-%D1%87%D0%B0%D1%81%D0%BD%D0%B8%D0%BA?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Грінки житні Томчики - часник 500 грам,instock,<p>Грінки житні з додаванням свіжого часнику та солі </p><p>Фасування 500г</p>,https://static.wixstatic.com/media/145cef_73b256fe10784fe48790720c8337dad7~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,88,88,Natole store,8e1a76c2-d0a8-5683-6ab6-5c5511e6c441,true,new,,,1.00 kg,1.00 kg,,
7a78cc29-ab1b-1a47-07e8-79c5811a189f,https://www.natole.store/product-page/%D0%BF%D0%B5%D0%BB%D0%B5%D1%82%D0%B8-%D0%B1%D0%B5%D0%BA%D0%BE%D0%BD?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Пелети бекон,instock,"<p>Дуже хрусткі та ніжні картопляні чіпси займають окреме місце серед інших снеків</p><p></p><p>Неймовірно смачний та легкий снек нікого не залишить байдужим !</p><p></p><p>Наш інтернет-магазин пропонує вам купити картопляні пелети  за доступною ціною. Ми пропонуємо тільки натуральний продукт, доставку якого можна замовити в будь-яку точку України.</p>",https://static.wixstatic.com/media/145cef_8a0184c273d8442094912ddd7f5f4fd6~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,244,244,Natole store,7a78cc29-ab1b-1a47-07e8-79c5811a189f,true,new,,,1.00 kg,1.00 kg,,
2a818f0e-ac29-b754-defd-06dd6aa0d78c,https://www.natole.store/product-page/%D0%BF%D0%B5%D0%BB%D0%B5%D1%82%D0%B8-%D0%B2%D0%B0%D1%81%D0%B0%D0%B1%D1%96?utm_source=google%26utm_medium%3Dwix_google_channel%26utm_campaign%3Dfreelistings&utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Пелети васабі,instock,"<p>Дуже хрусткі та ніжні картопляні чіпси займають окреме місце серед інших снеків</p><p></p><p>Неймовірно смачний та легкий снек нікого не залишить байдужим !</p><p></p><p>Наш інтернет-магазин пропонує вам купити картопляні пелети  за доступною ціною. Ми пропонуємо тільки натуральний продукт, доставку якого можна замовити в будь-яку точку України.</p>",https://static.wixstatic.com/media/145cef_8f02e5e2015346c3b20c6e4286a9adea~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,244,244,Natole store,2a818f0e-ac29-b754-defd-06dd6aa0d78c,true,new,,,1.00 kg,1.00 kg,,
