id	title	description	availability	inventory	condition	price	sale_price	link	image_link	brand	item_group_id	product_type	google_product_category
514216321251	Ракушки мелкие Reggia макаронные изделия Coviglie Piccole 500г	Ракушки мелкие Reggia макаронные изделия Coviglie Piccole Италия 500г	in stock	999	new	61.00 UAH		https://smartfood.org.ua/pasta/tproduct/320928224-514216321251-rakushki-melkie-reggia-makaronnie-izdeli	https://static.tildacdn.com/tild3533-6166-4739-b137-393364626636/253402321_images_201.jpg	REGGIA	514216321251	Макаронные изделия	434
511233188341	Оливки зеленые фаршированные сыром, Helcom 300г	Оливки зеленые фаршированные сыром, Helcom 300 г Польша	in stock	999	new	79.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-511233188341-olivki-zelenie-farshirovannie-sirom-helc	https://static.tildacdn.com/tild3832-6464-4238-b035-623735396532/uploadversion_1020ee.jpeg	Helcom	511233188341	Консервация, консервы	5811
278846391481	Маслины с косточкой Hojiblanca con Hueso Eliges 350г	Маслины с косточкой Hojiblanca con Hueso Eliges 350г Испания	in stock	999	new	79.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-278846391481-maslini-s-kostochkoi-hojiblanca-con-hues	https://static.tildacdn.com/tild6533-3435-4933-b566-636564383166/2362272544_w640_h640.jpg	Eliges	278846391481	Консервация, консервы	5811
457749178511	Кокосовое молоко Mleczko kokosowe M K 400мл	Кокосовое молоко Mleczko kokosowe M K, 400 мл. Польша	in stock	999	new	90.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-457749178511-kokosovoe-moloko-mleczko-kokosowe-m-k-40	https://static.tildacdn.com/tild6366-3861-4136-b935-613961656436/mkmleczko.png	smartfood.org.ua	457749178511	Консервация, консервы	5811
573983858871	Оливки зеленые фаршированные лимоном, Helcom 300г	Оливки зеленые фаршированные лимоном, Helcom 300 г Польша	in stock	999	new	83.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-573983858871-olivki-zelenie-farshirovannie-limonom-he	https://static.tildacdn.com/tild6435-3834-4435-b934-313039386565/uploadversion_10fecf.jpeg	Helcom	573983858871	Консервация, консервы	5811
530201653991	Маслины с косточкой Bay Mar Seleccion 350г	Маслины с косточкой Bay Mar Seleccion 350г Испания	in stock	999	new	79.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-530201653991-maslini-s-kostochkoi-bay-mar-seleccion-3	https://static.tildacdn.com/tild3562-6463-4436-b937-653031613262/BayMar-Seleccion.jpg	BayMar	530201653991	Консервация, консервы	5811
713688614161	Оливки зеленые фаршированные анчоусом Bay Mar Seleccion 120г	Оливки зеленые фаршированные анчоусом Bay Mar Seleccion 120г Испания	in stock	999	new	79.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-713688614161-olivki-zelenie-farshirovannie-anchousom	https://static.tildacdn.com/tild6530-3332-4135-b535-373761363063/253403771_images_201.jpg	BayMar	713688614161	Консервация, консервы	5811
446069504301	Оливки черные без косточки Oliwki Czarne Helcom 345г	Оливки черные без косточки Oliwki Czarne Helcom 345г Польша	in stock	999	new	94.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-446069504301-olivki-chernie-bez-kostochki-oliwki-czar	https://static.tildacdn.com/tild6436-3532-4163-b761-623636303866/helcom-masliny-900-g.jpg	Helcom	446069504301	Консервация, консервы	5811
412993956381	Оливки зеленые крупные Vittoria Olive Verdi Dolci Giganti 250г	Оливки зеленые с косточкой крупные Vittoria Olive Verdi Dolci Giganti Италия 450/250г	in stock	999	new	94.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-412993956381-olivki-zelenie-krupnie-vittoria-olive-ve	https://static.tildacdn.com/tild3864-6564-4538-b935-366562643365/692518624_w640_h640_.jpg	Vittoria	412993956381	Консервация, консервы	5811
886406749911	Оливки зеленые без косточки, Helcom 280г	Оливки зеленые без косточки, Helcom 280 г Польша	in stock	999	new	71.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-886406749911-olivki-zelenie-bez-kostochki-helcom-280g	https://static.tildacdn.com/tild6336-3733-4135-b838-343138396161/4000915_00p.jpg	Helcom	886406749911	Консервация, консервы	5811
677219033511	Оливки зеленые фаршированные анчоусом Bay Mar Seleccion 300г	Оливки зеленые фаршированные анчоусом Bay Mar Seleccion 300г Испания	in stock	999	new	94.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-677219033511-olivki-zelenie-farshirovannie-anchousom	https://static.tildacdn.com/tild6266-3565-4536-b337-306131343039/253403771_images_201.jpg	BayMar	677219033511	Консервация, консервы	5811
124224378821	Оливки зеленые без косточки Oliwki zielone Helcom 345г	Оливки зеленые без косточки Oliwki zielone Helcom 345 г	in stock	999	new	94.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-124224378821-olivki-zelenie-bez-kostochki-oliwki-ziel	https://static.tildacdn.com/tild6133-3535-4536-a138-663661383430/original.jpg	Helcom	124224378821	Консервация, консервы	5811
322332723171	Хамон FAR Jamon Serrano без глютена и лактозы 100г	Хамон FAR Jamon Serrano без глютена и лактозы, 100г Испания	out of stock	0	new	99.00 UAH		https://smartfood.org.ua/meat-sausages/tproduct/320929133-322332723171-hamon-far-jamon-serrano-bez-glyutena-i-l	https://static.tildacdn.com/tild6564-3833-4363-b638-626264386133/148434232.jpg	FAR	322332723171	Колбасы, хамон, тушенка	4628
661784495551	"Изюм ""Малаяр"" темный - 500г"	"Изюм ""Малаяр"" темный Иран 1 кг"	in stock	999	new	69.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-501164251901-izyum-malayar-temnii?editionuid=661784495551	https://static.tildacdn.com/tild6135-3332-4866-b335-313833303565/izyum6.jpg	smartfood.org.ua	501164251901	Сухофрукты и цукаты	1755
885851613101	Сок лимонный концентрированный Lemon Piacelli 200мл	Сок лимонный концентрированный Lemon Piacelli Австрия 200мл	in stock	999	new	38.00 UAH		https://smartfood.org.ua/drinks/tproduct/320930595-885851613101-sok-limonnii-kontsentrirovannii-lemon-pi	https://static.tildacdn.com/tild3532-3236-4838-b237-313934653165/sok-limon.jpg	Piacelli	885851613101	Напитки, соки, сиропы	413
409286781651	Сливки сухие в кофе La Movida 200г	Сливки сухие в кофе La Movida Польша 200г	in stock	999	new	65.00 UAH		https://smartfood.org.ua/cheese-dairy/tproduct/320928710-409286781651-slivki-suhie-v-kofe-la-movida-200g	https://static.tildacdn.com/tild6261-3564-4634-b734-323138393733/2899136244_w600_h600.jpg	smartfood.org.ua	409286781651	Сыры и молочная продукция	429
